Attaching to dataclay_logicmodule_1
[36mlogicmodule_1  |[0m mvn exec:java -q -Dexec.mainClass=es.bsc.dataclay.logic.server.LogicModuleSrv -Dlog4j.configurationFile=/usr/src/dataclay/javaclay/log4j2.xml -Dexec.cleanupDaemonThreads=false -Dcom.google.inject.internal.cglib.=true
[36mlogicmodule_1  |[0m NOTE: Picked up JDK_JAVA_OPTIONS: --add-opens java.base/java.lang=ALL-UNNAMED
[36mlogicmodule_1  |[0m 2019-11-13T17:25:46,015 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:405] Looking for environment variable DATACLAYGLOBALCONFIG
[36mlogicmodule_1  |[0m 2019-11-13T17:25:46,182 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:408] Found DATACLAYGLOBALCONFIG defined at null. Trying to read.
[36mlogicmodule_1  |[0m 2019-11-13T17:25:46,230 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:424] Cannot find environment variable DATACLAYGLOBALCONFIG. Trying default location /usr/src/dataclay/javaclay/cfgfiles/global.properties
[36mlogicmodule_1  |[0m 2019-11-13T17:25:46,242 INFO [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:522] Using global.properties file found at /usr/src/dataclay/javaclay/cfgfiles/global.properties
[36mlogicmodule_1  |[0m 2019-11-13T17:25:46,256 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:438] Looking for env variable set in global.properties: CHECK_LOG4J_DEBUG
[36mlogicmodule_1  |[0m 2019-11-13T17:25:46,268 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:441] Found environment variable set in global.properties: CHECK_LOG4J_DEBUG=true
[36mlogicmodule_1  |[0m 2019-11-13T17:25:46,308 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:438] Looking for env variable set in global.properties: DB_HANDLER_TYPE_FOR_LOGICMODULE
[36mlogicmodule_1  |[0m 2019-11-13T17:25:46,324 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:477] Not found environment variable set in global.properties, using default: DB_HANDLER_TYPE_FOR_LOGICMODULE=null
[36mlogicmodule_1  |[0m 2019-11-13T17:25:46,964 DEBUG [es.bsc.dataclay.dbhandler.sql.sqlite.SQLiteHandler] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [SQLiteHandler:47] SQLITE DB URL = jdbc:sqlite:/tmp/dataclay//LM
[36mlogicmodule_1  |[0m 2019-11-13T17:25:48,026 DEBUG [SQLHandler] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [SQLHandler:90] [==DB==] Executing CREATE TABLE IF NOT EXISTS dsID (oid UUID PRIMARY KEY NOT NULL, bytes bytea)
[36mlogicmodule_1  |[0m 2019-11-13T17:25:48,325 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:438] Looking for env variable set in global.properties: MAX_ENTRIES_ACCOUNT_MANAGER_CACHE
[36mlogicmodule_1  |[0m 2019-11-13T17:25:48,354 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:477] Not found environment variable set in global.properties, using default: MAX_ENTRIES_ACCOUNT_MANAGER_CACHE=null
[36mlogicmodule_1  |[0m 2019-11-13T17:25:48,358 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:438] Looking for env variable set in global.properties: LRU_LOAD_FACTOR
[36mlogicmodule_1  |[0m 2019-11-13T17:25:48,369 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:477] Not found environment variable set in global.properties, using default: LRU_LOAD_FACTOR=null
[36mlogicmodule_1  |[0m 2019-11-13T17:25:48,490 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:438] Looking for env variable set in global.properties: MAX_ENTRIES_SESSION_MANAGER_CACHE
[36mlogicmodule_1  |[0m 2019-11-13T17:25:48,499 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:477] Not found environment variable set in global.properties, using default: MAX_ENTRIES_SESSION_MANAGER_CACHE=null
[36mlogicmodule_1  |[0m 2019-11-13T17:25:48,501 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:438] Looking for env variable set in global.properties: LRU_BYDATE_TIMEUNIT_VALUE
[36mlogicmodule_1  |[0m 2019-11-13T17:25:48,504 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:477] Not found environment variable set in global.properties, using default: LRU_BYDATE_TIMEUNIT_VALUE=null
[36mlogicmodule_1  |[0m 2019-11-13T17:25:48,645 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:438] Looking for env variable set in global.properties: MAX_ENTRIES_NAMESPACE_MANAGER_CACHE
[36mlogicmodule_1  |[0m 2019-11-13T17:25:48,649 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:477] Not found environment variable set in global.properties, using default: MAX_ENTRIES_NAMESPACE_MANAGER_CACHE=null
[36mlogicmodule_1  |[0m 2019-11-13T17:25:48,761 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:438] Looking for env variable set in global.properties: MAX_ENTRIES_CLASS_MANAGER_CACHE
